LSOAs,Ethnic Group;White;2011,Ethnic Group;Mixed/multiple ethnic groups;2011,Ethnic Group;Asian/Asian British;2011,Ethnic Group;Black/African/Caribbean/Black British;2011,Ethnic Group;Other ethnic group;2011,Ethnic Group;BAME;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011
E01002540,768,83,470,297,58,908,45.8,5,28,17.7,3.5,54.2
E01002542,644,100,671,414,84,1269,33.7,5.2,35.1,21.6,4.4,66.3
E01002543,746,75,563,266,78,982,43.2,4.3,32.6,15.4,4.5,56.8
E01002394,541,63,790,147,78,1078,33.4,3.9,48.8,9.1,4.8,66.6
E01002395,410,51,692,191,63,997,29.1,3.6,49.2,13.6,4.5,70.9
E01002397,330,64,990,235,76,1365,19.5,3.8,58.4,13.9,4.5,80.5
E01002398,366,35,1061,157,106,1359,21.2,2,61.5,9.1,6.1,78.8
E01002399,374,46,944,138,89,1217,23.5,2.9,59.3,8.7,5.6,76.5
E01002426,795,80,689,154,65,988,44.6,4.5,38.6,8.6,3.6,55.4
E01002411,1289,64,203,125,31,423,75.3,3.7,11.9,7.3,1.8,24.7
E01002413,1124,44,228,106,28,406,73.5,2.9,14.9,6.9,1.8,26.5
E01002518,951,49,238,51,44,382,71.3,3.7,17.9,3.8,3.3,28.7
E01002519,1138,39,195,83,36,353,76.3,2.6,13.1,5.6,2.4,23.7
E01002550,1258,63,256,143,90,552,69.5,3.5,14.1,7.9,5,30.5
E01002554,1502,133,555,256,117,1061,58.6,5.2,21.7,10,4.6,41.4
E01002541,1052,96,529,169,103,897,54,4.9,27.1,8.7,5.3,46
E01002544,490,86,812,168,122,1188,29.2,5.1,48.4,10,7.3,70.8
E01002545,597,114,441,286,65,906,39.7,7.6,29.3,19,4.3,60.3
E01002546,296,43,978,158,98,1277,18.8,2.7,62.2,10,6.2,81.2
E01002547,289,69,912,201,95,1277,18.5,4.4,58.2,12.8,6.1,81.5
E01002400,936,52,502,229,73,856,52.2,2.9,28,12.8,4.1,47.8
E01002401,755,76,545,261,65,947,44.4,4.5,32,15.3,3.8,55.6
E01002402,592,45,571,216,75,907,39.5,3,38.1,14.4,5,60.5
E01002403,623,89,711,320,52,1172,34.7,5,39.6,17.8,2.9,65.3
E01002404,869,80,543,267,79,969,47.3,4.4,29.5,14.5,4.3,52.7
E01002548,1223,64,260,106,22,452,73,3.8,15.5,6.3,1.3,27
E01002549,1136,59,386,133,37,615,64.9,3.4,22,7.6,2.1,35.1
E01002551,1220,72,440,109,64,685,64,3.8,23.1,5.7,3.4,36
E01002552,1066,37,336,108,35,516,67.4,2.3,21.2,6.8,2.2,32.6
E01002553,1189,60,268,103,73,504,70.2,3.5,15.8,6.1,4.3,29.8
E01002396,439,38,954,191,127,1310,25.1,2.2,54.5,10.9,7.3,74.9
E01002501,586,46,747,200,92,1085,35.1,2.8,44.7,12,5.5,64.9
E01002502,772,78,511,165,63,817,48.6,4.9,32.2,10.4,4,51.4
E01002505,686,67,567,297,77,1008,40.5,4,33.5,17.5,4.5,59.5
E01002508,720,92,781,266,96,1235,36.8,4.7,39.9,13.6,4.9,63.2
E01002405,909,62,637,250,61,1010,47.4,3.2,33.2,13,3.2,52.6
E01002406,737,77,883,352,86,1398,34.5,3.6,41.4,16.5,4,65.5
E01002503,604,54,777,175,71,1077,35.9,3.2,46.2,10.4,4.2,64.1
E01002504,997,94,637,254,42,1027,49.3,4.6,31.5,12.5,2.1,50.7
E01002506,442,72,904,367,51,1394,24.1,3.9,49.2,20,2.8,75.9
E01002507,432,35,901,224,64,1224,26.1,2.1,54.4,13.5,3.9,73.9
E01002486,867,96,832,288,109,1325,39.6,4.4,38,13.1,5,60.4
E01002487,529,72,857,272,91,1292,29,4,47.1,14.9,5,71
E01002526,1198,89,403,193,42,727,62.2,4.6,20.9,10,2.2,37.8
E01002528,1088,58,383,127,29,597,64.6,3.4,22.7,7.5,1.7,35.4
E01002532,1430,101,443,227,88,859,62.5,4.4,19.4,9.9,3.8,37.5
E01002445,1021,116,305,183,78,682,60,6.8,17.9,10.7,4.6,40
E01002525,1238,58,230,62,25,375,76.8,3.6,14.3,3.8,1.5,23.2
E01002529,1120,106,505,271,84,966,53.7,5.1,24.2,13,4,46.3
E01002530,1153,85,219,142,35,481,70.6,5.2,13.4,8.7,2.1,29.4
E01002531,1204,65,281,48,19,413,74.5,4,17.4,3,1.2,25.5
E01002407,565,99,1180,421,89,1789,24,4.2,50.1,17.9,3.8,76
E01002488,657,33,805,175,59,1072,38,1.9,46.6,10.1,3.4,62
E01002489,390,53,1132,172,77,1434,21.4,2.9,62.1,9.4,4.2,78.6
E01002490,664,86,1041,201,90,1418,31.9,4.1,50,9.7,4.3,68.1
E01002492,398,75,964,133,77,1249,24.2,4.6,58.5,8.1,4.7,75.8
E01002444,950,85,543,174,81,883,51.8,4.6,29.6,9.5,4.4,48.2
E01002446,1027,70,404,74,37,585,63.7,4.3,25.1,4.6,2.3,36.3
E01002447,902,86,488,131,90,795,53.2,5.1,28.8,7.7,5.3,46.8
E01002527,1122,45,210,100,44,399,73.8,3,13.8,6.6,2.9,26.2
E01002443,494,60,885,89,97,1131,30.4,3.7,54.5,5.5,6,69.6
E01002448,950,93,695,159,60,1007,48.5,4.8,35.5,8.1,3.1,51.5
E01002449,750,81,719,150,72,1022,42.3,4.6,40.6,8.5,4.1,57.7
E01002491,529,63,718,222,72,1075,33,3.9,44.8,13.8,4.5,67
E01002493,663,81,676,348,100,1205,35.5,4.3,36.2,18.6,5.4,64.5
E01002496,1316,70,258,114,44,486,73,3.9,14.3,6.3,2.4,27
E01002497,1255,77,319,134,47,577,68.5,4.2,17.4,7.3,2.6,31.5
E01002498,1060,65,231,47,13,356,74.9,4.6,16.3,3.3,0.9,25.1
E01002499,1193,76,316,95,25,512,70,4.5,18.5,5.6,1.5,30
E01032577,1260,65,269,60,29,423,74.9,3.9,16,3.6,1.7,25.1
E01002569,1500,60,109,60,35,264,85,3.4,6.2,3.4,2,15
E01002570,1378,46,135,65,58,304,81.9,2.7,8,3.9,3.4,18.1
E01002573,1415,54,101,57,23,235,85.8,3.3,6.1,3.5,1.4,14.2
E01002574,1253,83,136,15,50,284,81.5,5.4,8.8,1,3.3,18.5
E01002575,1432,83,135,41,54,313,82.1,4.8,7.7,2.3,3.1,17.9
E01002562,930,80,197,125,47,449,67.4,5.8,14.3,9.1,3.4,32.6
E01002564,1222,120,259,218,69,666,64.7,6.4,13.7,11.5,3.7,35.3
E01002566,1126,161,367,345,124,997,53,7.6,17.3,16.3,5.8,47
E01002568,1616,181,464,396,102,1143,58.6,6.6,16.8,14.4,3.7,41.4
E01033081,853,70,168,74,77,389,68.7,5.6,13.5,6,6.2,31.3
E01033082,903,62,153,73,32,320,73.8,5.1,12.5,6,2.6,26.2
E01002620,577,76,932,158,108,1274,31.2,4.1,50.4,8.5,5.8,68.8
E01002625,255,30,1196,72,128,1426,15.2,1.8,71.1,4.3,7.6,84.8
E01002626,375,49,994,89,119,1251,23.1,3,61.1,5.5,7.3,76.9
E01002627,421,78,782,243,138,1241,25.3,4.7,47.1,14.6,8.3,74.7
E01002631,281,78,1062,93,114,1347,17.3,4.8,65.2,5.7,7,82.7
E01002633,629,62,684,203,65,1014,38.3,3.8,41.6,12.4,4,61.7
E01002634,559,70,764,257,62,1153,32.7,4.1,44.6,15,3.6,67.3
E01002637,208,46,1022,255,128,1451,12.5,2.8,61.6,15.4,7.7,87.5
E01002638,442,59,1044,205,73,1381,24.2,3.2,57.3,11.2,4,75.8
E01002563,1103,78,319,99,43,539,67.2,4.8,19.4,6,2.6,32.8
E01002565,2098,168,276,220,67,731,74.2,5.9,9.8,7.8,2.4,25.8
E01002567,1391,75,148,72,47,342,80.3,4.3,8.5,4.2,2.7,19.7
E01002684,1614,134,355,170,95,754,68.2,5.7,15,7.2,4,31.8
E01002686,1208,81,224,193,59,557,68.4,4.6,12.7,10.9,3.3,31.6
E01002571,1115,46,94,29,41,210,84.2,3.5,7.1,2.2,3.1,15.8
E01002572,1122,114,115,210,82,521,68.3,6.9,7,12.8,5,31.7
E01002577,1294,79,150,64,48,341,79.1,4.8,9.2,3.9,2.9,20.9
E01002578,1213,71,150,24,44,289,80.8,4.7,10,1.6,2.9,19.2
E01002689,1200,69,140,126,50,385,75.7,4.4,8.8,7.9,3.2,24.3
E01002690,1240,47,92,45,46,230,84.4,3.2,6.3,3.1,3.1,15.6
E01002576,1304,105,144,130,63,442,74.7,6,8.2,7.4,3.6,25.3
E01002579,1468,75,129,36,38,278,84.1,4.3,7.4,2.1,2.2,15.9
E01002580,1085,54,107,98,42,301,78.3,3.9,7.7,7.1,3,21.7
E01002581,1517,88,149,57,49,343,81.6,4.7,8,3.1,2.6,18.4
E01002582,1459,67,84,44,14,209,87.5,4,5,2.6,0.8,12.5
E01002675,1221,100,860,146,129,1235,49.7,4.1,35,5.9,5.3,50.3
E01002678,753,82,878,58,84,1102,40.6,4.4,47.3,3.1,4.5,59.4
E01002679,872,66,681,40,122,909,49,3.7,38.2,2.2,6.9,51
E01002680,949,94,727,85,97,1003,48.6,4.8,37.2,4.4,5,51.4
E01002619,372,76,1352,70,89,1587,19,3.9,69,3.6,4.5,81
E01002622,369,50,1181,68,63,1362,21.3,2.9,68.2,3.9,3.6,78.7
E01002632,396,50,1197,85,104,1436,21.6,2.7,65.3,4.6,5.7,78.4
E01002635,316,21,1251,85,80,1437,18,1.2,71.4,4.8,4.6,82
E01002636,416,35,1375,101,89,1600,20.6,1.7,68.2,5,4.4,79.4
E01002618,329,42,1257,34,96,1429,18.7,2.4,71.5,1.9,5.5,81.3
E01002621,475,44,1104,122,72,1342,26.1,2.4,60.8,6.7,4,73.9
E01002623,351,37,1057,115,107,1316,21.1,2.2,63.4,6.9,6.4,78.9
E01002628,487,61,1212,79,101,1453,25.1,3.1,62.5,4.1,5.2,74.9
E01002629,531,83,1185,175,113,1556,25.4,4,56.8,8.4,5.4,74.6
E01002630,433,45,1012,90,115,1262,25.5,2.7,59.7,5.3,6.8,74.5
E01002639,437,23,1123,36,84,1266,25.7,1.4,65.9,2.1,4.9,74.3
E01002640,322,36,1311,51,80,1478,17.9,2,72.8,2.8,4.4,82.1
E01002674,691,57,826,64,69,1016,40.5,3.3,48.4,3.7,4,59.5
E01002676,504,56,1053,32,70,1211,29.4,3.3,61.4,1.9,4.1,70.6
E01002583,339,48,1125,117,77,1367,19.9,2.8,65.9,6.9,4.5,80.1
E01002584,288,43,1210,77,73,1403,17,2.5,71.6,4.6,4.3,83
E01002585,471,43,934,133,70,1180,28.5,2.6,56.6,8.1,4.2,71.5
E01002586,277,37,1191,64,81,1373,16.8,2.2,72.2,3.9,4.9,83.2
E01002589,528,110,1039,245,60,1454,26.6,5.5,52.4,12.4,3,73.4
E01002668,1386,101,347,140,40,628,68.8,5,17.2,7,2,31.2
E01002669,1232,99,241,130,80,550,69.1,5.6,13.5,7.3,4.5,30.9
E01002681,1162,121,453,220,107,901,56.3,5.9,22,10.7,5.2,43.7
E01002682,1473,143,480,154,75,852,63.4,6.2,20.6,6.6,3.2,36.6
E01002683,1704,136,508,137,83,864,66.4,5.3,19.8,5.3,3.2,33.6
E01002642,490,65,1275,95,80,1515,24.4,3.2,63.6,4.7,4,75.6
E01002643,998,107,952,164,68,1291,43.6,4.7,41.6,7.2,3,56.4
E01002645,777,83,957,157,80,1277,37.8,4,46.6,7.6,3.9,62.2
E01002658,998,65,190,57,23,335,74.9,4.9,14.3,4.3,1.7,25.1
E01002677,947,55,403,106,54,618,60.5,3.5,25.8,6.8,3.5,39.5
E01002587,458,41,1207,131,58,1437,24.2,2.2,63.7,6.9,3.1,75.8
E01002588,858,78,405,326,88,897,48.9,4.4,23.1,18.6,5,51.1
E01002660,349,52,1189,60,108,1409,19.9,3,67.6,3.4,6.1,80.1
E01002661,239,30,1425,52,103,1610,12.9,1.6,77.1,2.8,5.6,87.1
E01002665,423,46,994,109,46,1195,26.1,2.8,61.4,6.7,2.8,73.9
E01002624,406,37,937,68,57,1099,27,2.5,62.3,4.5,3.8,73
E01002646,531,76,1145,176,88,1485,26.3,3.8,56.8,8.7,4.4,73.7
E01002662,491,48,1362,43,55,1508,24.6,2.4,68.1,2.2,2.8,75.4
E01002663,600,92,1183,141,58,1474,28.9,4.4,57,6.8,2.8,71.1
E01002664,545,65,1003,139,50,1257,30.2,3.6,55.7,7.7,2.8,69.8
E01002641,568,61,1147,86,70,1364,29.4,3.2,59.4,4.5,3.6,70.6
E01002648,799,77,1553,142,118,1890,29.7,2.9,57.8,5.3,4.4,70.3
E01002649,720,79,854,130,47,1110,39.3,4.3,46.7,7.1,2.6,60.7
E01002657,1066,88,609,66,47,810,56.8,4.7,32.5,3.5,2.5,43.2
E01033083,249,32,1304,47,32,1415,15,1.9,78.4,2.8,1.9,85
E01033084,608,63,862,114,75,1114,35.3,3.7,50.1,6.6,4.4,64.7
E01002653,566,60,1011,86,90,1247,31.2,3.3,55.8,4.7,5,68.8
E01002654,919,64,647,80,75,866,51.5,3.6,36.2,4.5,4.2,48.5
E01002655,967,98,718,60,42,918,51.3,5.2,38.1,3.2,2.2,48.7
E01002656,916,47,275,40,40,402,69.5,3.6,20.9,3,3,30.5
E01002659,831,59,401,83,24,567,59.4,4.2,28.7,5.9,1.7,40.6
E01002667,1130,74,217,102,50,443,71.8,4.7,13.8,6.5,3.2,28.2
E01002670,1255,65,274,99,44,482,72.3,3.7,15.8,5.7,2.5,27.7
E01002671,1370,58,130,65,36,289,82.6,3.5,7.8,3.9,2.2,17.4
E01002672,778,71,375,296,58,800,49.3,4.5,23.8,18.8,3.7,50.7
E01002673,659,108,410,373,84,975,40.3,6.6,25.1,22.8,5.1,59.7
E01002647,660,70,1192,187,104,1553,29.8,3.2,53.9,8.5,4.7,70.2
E01002650,527,106,1463,224,116,1909,21.6,4.4,60.1,9.2,4.8,78.4
E01002651,359,74,1160,103,82,1419,20.2,4.2,65.2,5.8,4.6,79.8
E01002652,439,56,1144,80,46,1326,24.9,3.2,64.8,4.5,2.6,75.1
E01002666,401,30,1014,75,38,1157,25.7,1.9,65.1,4.8,2.4,74.3
E01002555,1008,82,711,76,40,909,52.6,4.3,37.1,4,2.1,47.4
E01002556,1034,46,443,115,43,647,61.5,2.7,26.4,6.8,2.6,38.5
E01002590,1231,77,379,112,40,608,66.9,4.2,20.6,6.1,2.2,33.1
E01002592,1153,76,562,155,53,846,57.7,3.8,28.1,7.8,2.7,42.3
E01002595,1213,80,449,138,44,711,63,4.2,23.3,7.2,2.3,37
E01002557,1218,59,378,96,34,567,68.2,3.3,21.2,5.4,1.9,31.8
E01002558,1277,61,387,176,44,668,65.7,3.1,19.9,9,2.3,34.3
E01002559,1492,113,454,192,28,787,65.5,5,19.9,8.4,1.2,34.5
E01002560,1206,52,352,84,21,509,70.3,3,20.5,4.9,1.2,29.7
E01002561,933,62,201,125,58,446,67.7,4.5,14.6,9.1,4.2,32.3
E01002591,1236,59,322,73,39,493,71.5,3.4,18.6,4.2,2.3,28.5
E01002593,1302,61,602,98,55,816,61.5,2.9,28.4,4.6,2.6,38.5
E01002594,933,103,764,102,52,1021,47.7,5.3,39.1,5.2,2.7,52.3
E01002611,1223,82,360,89,31,562,68.5,4.6,20.2,5,1.7,31.5
