LSOAs,Mean_year_household_income,Median_year_household_income
E01002741,38063,27302
E01002743,56239,40460
E01002744,66931,48120
E01002752,53065,38186
E01002764,42786,30746
E01002783,39740,28524
E01002784,41708,29960
E01002786,41120,29531
E01002787,41816,30038
E01002762,59401,42726
E01002767,41676,29936
E01033486,44526,32015
E01033487,63799,45876
E01033488,44992,32355
E01033491,47423,34127
E01033492,69221,49761
E01002777,56334,40528
E01002778,34964,25042
E01002779,60907,43804
E01002781,46286,33298
E01002782,37209,26679
E01002739,78627,56499
E01002740,88818,63800
E01002745,70992,51029
E01002795,55319,39801
E01002796,64313,46245
E01002716,41057,29485
E01002718,75937,54572
E01002721,53135,38237
E01002775,67446,48489
E01002776,48821,35147
E01002780,56436,40602
E01002708,40631,29175
E01002712,47141,33922
E01002713,35668,25555
E01002765,37665,27012
E01002766,34484,24692
E01002717,64103,46094
E01002719,75783,54462
E01002720,37981,27242
E01002790,42683,30671
E01002791,74197,53326
E01002793,48769,35109
E01002698,66034,47477
E01002699,72818,52338
E01002700,105345,75640
E01002714,78981,56752
E01002792,74520,53557
E01002722,43326,31140
E01002797,46127,33182
E01002798,74883,53817
E01002799,43124,30992
E01002800,35768,25628
E01002694,37247,26707
E01002697,35773,25632
E01002709,40335,28959
E01002710,42414,30475
E01002715,34161,24456
E01002696,73960,53155
E01002794,70743,50851
E01002801,83401,59919
E01002802,78985,56756
E01002803,62553,44983
E01002695,47854,34441
E01002711,52132,37518
E01002727,60162,43271
E01002728,44515,32007
E01002729,65762,47283
E01002707,49015,35285
E01002723,41475,29790
E01002724,80912,58136
E01002725,41649,29917
E01002726,51867,37328
E01033489,73354,52722
E01033490,49223,35434
E01002701,43031,30924
E01002702,42149,30281
E01002703,40845,29330
E01002704,51485,37054
E01002706,44783,32202
E01002852,33341,22478
E01002853,33794,22790
E01002854,33010,22249
E01002855,36094,24377
E01002857,26676,17879
E01002904,30484,20507
E01002905,37171,25120
E01002906,42544,28828
E01002907,36330,24540
E01002876,59447,40489
E01002877,36141,24409
E01002878,49615,33706
E01002908,51379,34923
E01002909,54258,36910
E01002829,50605,34389
E01002830,44826,30402
E01002831,48666,33051
E01002832,49810,33840
E01002856,46220,31364
E01002870,32781,22091
E01002872,50180,34096
E01002879,37557,25386
E01002880,30956,20832
E01002881,38916,26324
E01002882,69961,47558
E01002883,85446,57926
E01002884,64527,43919
E01002885,60217,41021
E01002886,87881,59557
E01002833,70003,47585
E01002871,109673,74149
E01002873,71762,48763
E01002874,60442,41176
E01002875,84682,57414
E01002824,91165,61756
E01002825,100483,67995
E01002826,83819,56837
E01002827,96312,65202
E01002828,94753,64158
E01002864,107024,72375
E01002866,55494,37762
E01002867,52189,35482
E01002868,117009,79061
E01002869,58233,39652
E01002887,82389,55879
E01002889,99418,67282
