LSOAs,Median_houseP
E01001924,970
E01001947,325
E01001948,506.25
E01001949,595
E01001950,730
E01001951,415
E01001953,552.5
E01001904,565
E01001905,528
E01001906,475
E01001907,995
E01001935,456.5
E01001939,460
E01032788,480
E01032789,407.45
E01032790,650
E01001915,618
E01001916,760
E01001926,1240
E01001952,437
E01001925,1580
E01001934,699.95
E01001937,810
E01001938,498.75
E01001969,250
E01001971,360
E01001974,300
E01001975,212.5
E01002036,181
E01002037,165.5
E01002039,110
E01002040,225
E01001962,399.75
E01001970,188.5
E01001972,360
E01001973,460
E01002090,250
E01002093,186.25
E01002096,228
E01002097,215.5
E01002091,219
E01002092,136
E01002094,216
E01002095,212.5
E01002098,284
E01002101,250
E01002102,345
E01002105,317.5
E01002099,162.5
E01002100,212
E01002103,280
E01002104,270
E01001963,692.5
E01001964,315
E01001965,557.5
E01001966,677.5
E01002027,285
E01002028,275
E01002032,222.5
E01002033,272.5
E01001976,191
E01001977,187.5
E01001978,150
E01001979,160
E01002074,152.25
E01002077,206
E01002079,223
E01002081,193.975
E01002082,#VALUE!
E01002086,288.5
E01002088,310
E01002089,#VALUE!
E01001967,626.25
E01001968,465
E01001996,269
E01001997,380
E01002075,193
E01002076,210
E01002078,147
E01002080,223
E01002026,226
E01002029,198
E01002030,361.25
E01002031,299
E01001991,392
E01001992,942.5
E01001993,1079.5
E01001995,408
E01001980,242.5
E01001981,220.971
E01001982,218.25
E01001983,250
E01002083,310
E01002084,241.5
E01002085,285
E01002087,325
E01002014,332.5
E01002015,282.5
E01002018,338
E01033085,215
E01033086,228.32
E01002020,325
E01002022,312.5
E01002023,485
E01002025,1080
E01002013,397.475
E01002019,600
E01002021,825
E01002024,630
E01001998,283.5
E01001999,287.5
E01002003,254.188
E01002004,381
E01002067,245
E01002069,231
E01002070,215
E01002073,217
E01002066,154
E01002068,180
E01002071,175
E01002072,128.5
E01002043,245
E01002045,245
E01002046,230
E01002049,238.5
E01002042,310
E01002044,385
E01002047,208.325
E01002048,295
E01002016,300
E01002017,308.5
E01002059,499.999
E01002060,405
E01002050,313.5
E01002051,321.75
E01002052,395
E01002055,406.25
E01001994,310
E01002008,1116.634
E01002010,505
E01002011,427.5
E01002000,286
E01002001,353.5
E01002002,310
E01002058,300
E01002053,209.5
E01002054,195
E01002056,235
E01002057,315
E01001984,330
E01001985,432.74
E01001987,492.5
E01001989,670
E01001986,755
E01001988,361.25
E01001990,363.75
E01002062,308.475
E01002005,380
E01002006,330
E01002007,632.5
E01002009,540
E01002061,323
E01002063,295
E01002064,270
E01002065,360
E01002034,105
E01002038,142
E01002041,210
E01032575,158
E01002755,288.75
E01002756,373.75
E01002758,217.5
E01002804,360
E01002807,267.5
E01002811,367
E01002753,261
E01002754,721.25
E01002757,655
E01002759,422.5
E01002760,235
E01002772,297.5
E01002735,249.995
E01002805,335
E01002806,412.5
E01002808,294.475
E01002809,390
E01002810,361.25
E01002768,287.5
E01002770,393.5
E01002771,510
E01002773,194.95
E01002774,332.475
E01002732,250
E01002734,290
E01002736,229.25
E01002737,270
E01002751,250
E01002742,520
E01002747,635
E01002748,325
E01002749,452.5
E01033493,342.5
E01033494,488
E01002730,330
E01002731,276
E01002733,342.5
E01002763,250
E01002769,575
E01002785,418
E01002788,385
E01002789,395
E01002738,480
E01002741,255
E01002743,465
E01002744,483.75
E01002752,400
E01002764,320.5
E01002783,320
E01002784,300.498
E01002786,326.5
E01002787,205
E01002762,405
E01002767,380
E01033486,427.5
E01033487,343.75
E01033488,487.5
E01033491,343
E01033492,345
E01002777,425
E01002778,250
E01002779,350
E01002781,377.95
E01002782,345
E01002739,545
E01002740,430
E01002745,542.5
E01002795,499.95
E01002796,359.5
E01002716,280
E01002718,440
E01002721,487.5
E01002775,505.5
E01002776,385
E01002780,400
E01002708,345
E01002712,381.25
E01002713,235
E01002765,223
E01002766,212.5
E01002717,395
E01002719,584.5
E01002720,306.5
E01002790,660
E01002791,545.14
E01002793,351
E01002698,435
E01002699,596.475
E01002700,620
E01002714,340
E01002792,555
E01002722,327
E01002797,364.5
E01002798,650
E01002799,320
E01002800,1080
E01002694,287.5
E01002697,276
E01002709,322
E01002710,398.875
E01002715,265
E01002696,420
E01002794,600
E01002801,638
E01002802,605
E01002803,505
E01002695,425
E01002711,440
E01002727,557.5
E01002728,482.5
E01002729,465.475
E01002707,330
E01002723,335.975
E01002724,470
E01002725,390
E01002726,399.95
E01033489,505
E01033490,359.5
E01002701,407.5
E01002702,345.5
E01002703,467.5
E01002704,470
E01002706,385
E01002852,265
E01002853,1030
E01002854,320
E01002855,347.5
E01002857,166.25
E01002904,#VALUE!
E01002905,325.5
E01002906,527.14
E01002907,#VALUE!
E01002876,1200
E01002877,654.5
E01002878,395
E01002908,590
E01002909,430
E01002829,550
E01002830,625
E01002831,540
E01002832,837.5
E01002856,420
E01002870,380
E01002872,962.5
E01002879,387.5
E01002880,190
E01002881,1080
E01002882,900
E01002883,740
E01002884,840
E01002885,780
E01002886,967.5
E01002833,693.75
E01002871,1750
E01002873,580
E01002874,460
E01002875,843.449
E01002824,900
E01002825,1100
E01002826,665
E01002827,1750
E01002828,1380
E01002864,2175
E01002866,525
E01002867,657.5
E01002868,1750
E01002869,462
E01002887,885
E01002889,1225
E01002890,2017.5
E01002891,1127.5
E01002892,999.999
E01002813,1400
E01002815,615
E01002816,1450
E01002817,1322.5
E01002865,1775
E01002818,1263.5
E01002819,1100
E01002859,1400
E01002860,2000
E01002863,1522.5
E01002812,825
E01002834,740
E01002839,780
E01002850,850
E01002888,910
E01002821,1004
E01002823,1850
E01002858,435
E01002861,1284.4
E01002862,250
E01002814,689.5
E01002847,512.5
E01002848,530
E01002851,505
E01002820,955
E01002822,1800.5
E01002835,1050
E01002836,842.5
E01002837,1400
E01002846,460
E01002849,675
E01002893,560
E01002894,570
E01002898,985
E01002899,599
E01002900,1585
E01002901,950
E01002902,850
E01002903,3377
E01002844,1185
E01002845,747.5
E01002910,905
E01002911,2712.5
E01002914,1130
E01002838,1026
E01002895,1237.5
E01002896,765
E01002897,400
E01002912,765
E01002840,495
E01002841,680
E01002842,299.95
E01002843,472.5
E01002913,732.5
E01003015,258.475
E01003108,225
E01003110,357.5
E01003111,252.075
E01003112,353
E01003101,235
E01003105,260
E01003106,378
E01003107,470
E01003109,355
E01003102,367
E01003104,310.5
E01003122,370
E01003129,290
E01033207,295
E01033208,600
E01003098,670
E01003099,247.5
E01003100,271.25
E01003180,347.5
E01003183,394.62
E01003097,248.75
E01003121,215
E01003123,346
E01003124,231
E01003125,191
E01003181,295
E01003184,205
E01003185,305
E01003186,332.5
E01003187,220
E01003089,207
E01003091,245
E01003092,260
E01003126,215
E01003128,205
E01003046,195
E01003048,147
E01003075,360
E01003182,274.75
E01003188,200
E01003088,389
E01003093,228.75
E01003094,436.25
E01003096,317.5
E01003127,378
E01003045,193.75
E01003047,256.5
E01003049,258.25
E01003059,190
E01003060,174
E01003061,267
E01003034,255
E01003035,358
E01003036,359.754
E01003090,381.5
E01003095,335
E01003037,355
E01003038,475
E01003039,407.5
E01003040,340
E01003042,310
E01003072,550
E01003073,374.75
E01003076,230
E01003077,250
